ItemID,Item_name,Bowl,Cup,1tablespoon,1teaspoon,small,medium,large
472,Canned Oranges,,,,,96,,184
473,Canned Peaches,,250,15.63,5.21,,,
474,Canned Pears,,,,,,,
475,Canned Pineapple,,,,,,,
476,Canned Plums,,,,,,,
477,Canned Raspberries,,123,7.69,2.56,,,
478,Canned Sliced Pineapple,,,,,,,
479,Canned Sour Cherries,,244,15.25,5.08,,,
480,Canned Strawberries,,,,,,,90
481,Canned Tangerines,,,,,,,
482,Dried Fruit,,180,11.25,3.75,,,
483,Amaranth,,246,15.38,5.13,,,
484,Barley,,157,9.81,3.27,,,
485,Barley Groats,,157,9.81,3.27,,,
486,Brown Rice,,195,12.19,4.06,,,
487,Buckwheat,,168,10.5,3.5,,,
488,Buckwheat Groats,,168,10.5,3.5,,,
489,Corn Waffles,,,,,,,
490,Cornmeal,,122,7.63,2.54,,,
491,Cornstarch,,128,8,2.67,,,
492,Couscous,,,,,,,
493,Cracker,,,,,,,
494,Durum Wheat Semolina,,192,12,4,,,
495,Flaxseed,,,,,,,
496,Freekeh,,243,15.19,5.06,,,
497,Grissini,,,,,,,
498,Kamut,,172,10.75,3.58,,,
499,Millet,,174,10.88,3.63,,,
500,Millet Flour,,119,7.44,2.48,,,
501,Millet Gruel,,174,10.88,3.63,,,
502,Oat Bran,,219,13.69,4.56,,,
503,Pearl Barley,,157,9.81,3.27,,,
504,Polenta,,240,15,5,,,
505,Prawn Crackers,,,,,,,
506,Pretzel Sticks,,40,2.5,0.83,,,
507,Quinoa,,185,11.56,3.85,,,
508,Rusk,,,,,,,
509,Rye Bran,,40,2.5,0.83,,,
510,Sago,,,,,,,
511,Savoury Biscuits,,,,,,,
512,Shortbread,,,,,,,
513,Spelt,,194,12.13,4.04,,,
514,Spelt Bran,,194,12.13,4.04,,,
515,Spelt Semolina,,194,12.13,4.04,,,
516,Sunflower Seeds,,128,8,2.67,,,
517,Tortilla,,,,,,,
518,Tortilla Chips,,32,2,0.67,,,
519,Wheat Bran,,58,3.63,1.21,,,
520,Wheat Germ,,115,7.19,2.4,,,
521,Wheat Gluten,,192,12,4,,,
522,Wheat Semolina,,192,12,4,,,
523,Wheat Starch,,160,10,3.33,,,
524,Whole Grain Wheat,,192,12,4,,,
525,Wholegrain Oat,,81,5.06,1.69,,,
526,American Cheese,,,,,,,
527,Applewood,,,,,,,
528,Asiago Cheese,,80,5,1.67,,,
529,Babybel,,,,,,,
530,Blue Cheese,,,,,,,
531,Brie,,,,,,,
532,Camembert,,246,15.38,5.13,,,
533,Cheddar,,,,,,,
534,Cheese Fondue,,215,13.44,4.48,,,
535,Cheese Spread,,63,15.75,5.25,,,
536,Cheese Whiz,,264,33,5.5,,,
537,Chester,,,,,,,
538,Colby Cheese,,,,,,,
539,Colby-Jack Cheese,,,,,,,
540,Cottage Cheese,,217.5,13.59,4.53,,,
541,Dutch Cheese,,,,,,,
542,Edam Cheese,,,,,,,
543,Emmentaler,,,,,,,
544,Feta,,,,,,,
545,Fontina,,,,,,,
546,Fresh Mozzarella,,,,,,,
547,Gjetost,,,,,,,
548,Goat Cheese,,,,,,,
549,Gorgonzola,,,,,,,
550,Gouda,,,,,,,
551,Grated Parmesan,,100,6.25,2.08,,,
552,Grilled Cheese,,,,,,,
553,Gruyere,,,,,,,
554,Halloumi,,113,7.06,2.35,,,
555,Havarti,,,,,,,
556,Italian Cheese,,,,,,,
557,Jarlsberg,,,,,,,
558,Maasdam Cheese,,,,,,,
559,Manchego Cheese,,,,,,,
560,Monterey Jack Cheese,,,,,,,
561,Mozzarella,,,,,,,
562,Muenster Cheese,,,,,,,
563,Neufchatel,,227.2,28.4,4.73,,,
564,Parmesan,,100,6.25,2.08,,,
565,Pecorino,,80,5,1.67,,,
566,Raspberries,,123,,,,,
567,Rhubarb,,122,,,,,
568,Starfruit,,132,,,,,
569,Strawberries,,144,,,,,
570,Tamarind,,,7.5,2.5,,,
571,Tangerine,,,,,,,
572,Watermelon,,152,,,,,
573,Almond Extract,,,,4,,,
574,Anise,,,6.7,2.1,,,
575,Anise Seed,,,6.7,2.1,,,
576,Arrowroot,,,,,,,
577,Arugula,,,,,,,
578,Balsamic Vinegar,,255,16,5.3,,,
579,Basil,,,2.7,0.9,,,
580,Black Pepper,,,6.9,2.9,,,
581,Black Sesame Seeds,,,9,3,,,
582,Broth,,,,,,,
583,Capers,,,,,,,
584,Caraway Seeds,,,6.7,2.1,,,
585,Cardamom,,,5.8,2,,,
586,Cassava,,206,,,,,
587,Cayenne Pepper,,,5.3,1.8,,,
588,Chard,,36,,,,,
589,Chicory Greens,,29,,,,,
590,Chicory Roots,,90,,,,,
591,Chili,,,,,,,
592,Chili Powder,,,8,2.7,,,
593,Chives,,,3,1,,,
594,Cider Vinegar,,239,14.9,5,,,
595,Cilantro,,,7.8,2.6,,,
596,Cinnamon,,,7.8,2.6,,,
597,Cloves,,,,,,,
598,Coriander,,,5,1.8,,,
599,Cream of Tartar,,,6,2,,,
600,Cress,,,,,,,
601,Crystallized Ginger,,,,,,,
602,Cumin,,,,,,,
603,Cumin Seed,,,6,2.1,,,
604,Curry,,,,,,,
605,Dandelion,,,,,,,
606,Dill,,,,,,,
607,Dill Weed,,,,,,,
608,Fennel,,87,,,,,
609,Fennel Seed,,,5.8,2,,,
610,Fenugreek,,,,,,,
611,Garlic,,136,8.4,2.8,,,
612,Garlic Powder,,,,13,,,
613,Garlic Salt,,102,,,,,
614,Ginger,,,0.6,0.2,,,
615,Grape Leaves,,,,,,,
616,Ground Ginger,,,,,,,
617,Horseradish,,,,,,,
618,Hot Pepper,,,,,,,
619,Iodized Salt,,,,,,,
620,Jalapeno,,,8.5,,,,
621,Juniper,,,,,,,
622,Lemon Grass,,,,,,,
623,Licorice,,,,3,,,
624,Maggi,,,,,,,
625,Marjoram,,,,,,,
626,Minced Onion,,,1.7,0.6,70,90,150
627,Mint,,,1,,,,
628,Mustard Seed,,,48,15,,,
629,Nutmeg,,,,,,,
630,Okra,,100,,,,,
631,Onion,,160,10,,70,90,150
632,Onion Powder,,,6.9,2.4,,,
633,Orange Peel,,96,6,2,,,
634,Oregano,,,3,1,,,
635,Paprika,,,6.9,2.3,,,
636,Parsley,,,380,,,,
637,Parsnip,,,,,,,
638,Pepper,,133,,,,,
639,Poppy Seed,,140.8,8.8,2.8,,,
640,Poultry Seasoning,,,4.4,1.5,,,
641,Pumpkin Pie Spice,,,5.6,1.7,,,
642,Red Pepper,,,,,,,
643,Red Wine Vinegar,,239,14.9,5,,,
644,Rosemary,,,,,,,
645,Saffron,,,2.1,0.7,,,
646,Ricotta,,124,15.5,5.17,,,
647,Romano,,80,5,1.67,,,
648,Roquefort,,,,,,,
649,Sheep Cheese,,,,,,,
650,Soft Cheese,,,,,,,
651,Stilton Cheese,,,,,,,
652,String Cheese,,,,,,,
653,Swiss Cheese,,,,,,,
654,White Cheddar,,,,,,,
655,Wisconsin Cheese,,,,,,,
656,Baked Ham,,,,,,,
657,Beef Salami,,,,,,,
658,Boiled Ham,,,,,,,
659,Bologna,,,,,,,
660,Capicola,,,,,,,
661,Chicken Breast Fillet,,140,8.75,2.92,,,
662,Chopped Ham,,134,8.38,2.79,,,
663,Chorizo,,,,,,,
664,Corned Beef,,,,,,,
665,Dutch Loaf,,,,,,,
666,Ham,,,,,,,
667,Ham Sausage,,,,,,,
668,Head Cheese,,,,,,,
669,Hickory Ham,,,,,,,
670,Honey Ham,,,,,,,
671,Liverwurst,,,,,,,
672,Olive Loaf,,134.4,8.4,2.8,,,
673,Oven-Roasted Turkey Breast,,135,8.44,2.81,,,
674,Parma Ham,,,,,,,
675,Pastrami,,,,,,,
676,Pepperoni,,138,8.63,2.88,,,
677,Pimento Loaf,,192,12,4,,,
678,Pork Roast,,,,,,,
679,Prosciutto,,,,,,,
680,Roast Beef,,,,,,,
681,Salami,,,,,,,
682,Serrano Ham,,,,,,,
683,Smoked Ham,,,,,,,
684,Smoked Turkey Breast,,,,,,,
685,Summer Sausage,,140,8.75,2.92,,,
686,Turkey Breast,,135,8.44,2.81,,,
687,Turkey Ham,,,,,,,
688,Turkey Salami,,,,,,,
689,Chive Cream Cheese,,240,15,5,,,
690,Cottage Cheese,,217.5,13.59,4.53,,,
691,Cream Cheese,,232,14.5,4.83,,,
692,Cream Cheese with Herbs,,232,14.5,4.83,,,
693,Feta Cream Cheese,,,,,,,
694,Garlic Cream Cheese,,136,8.5,2.83,,,
695,Goat Cheese,,,,,,,
696,Horseradish,,240,15,5,,,
697,Mascarpone,,448,28,9.33,,,
698,Olive Cream Cheese,,134.4,8.4,2.8,,,
699,Pesto Cream Cheese,,58,14.5,4.83,,,
700,Philadelphia Cream Cheese,,232,14.5,4.83,,,
701,Pineapple Cream Cheese,,,,,,,
702,Salmon Cream Cheese,,260.22,16.26,5.42,,,
703,Vegetable Cream Cheese,,232,14.5,4.83,,,
704,Walnut Cream Cheese,,,,,,,
705,Baby Back Ribs,,,,,,,
706,Bacon and Eggs,,80,5,1.67,,,
707,Baked Beans,,254,15.88,5.29,,,
708,Baked Chicken,,135,8.44,2.81,,,
709,BBQ Ribs,,,,,,,
710,Beef Stew,,252,15.75,5.25,,,
711,Biryani,,205.18,12.82,4.27,,,
712,Black Pudding,,,,,,,
713,Black Rice,,158,9.88,3.29,,,
714,BLT,,,,,,,
715,Brown Rice,,195,12.19,4.06,,,
716,Burrito,,,,,,,
717,Butter Chicken,,239.88,14.99,5,,,
718,California Roll,,,,,,,
719,Chicken Caesar Salad,,,,,,,
720,Chicken Fried Steak,,190,11.88,3.96,,,
721,Chicken Marsala,,256,16,5.33,,,
722,Chicken Parmesan,,,,,,,
723,Chicken Pot Pie,,252,15.75,5.25,,,
724,Chicken Tikka Masala,,236,14.75,4.92,,,
725,Chili con Carne,,183.26,11.45,3.82,,,
726,Chimichanga,,,,,105,162,324
727,Cobb Salad,,,,,,,
728,Collard Greens,,190,11.88,3.96,,,
729,Corn Dog,,,,,,,
730,Corned Beef Hash,,236,14.75,4.92,,,
731,Cottage Pie,,,,,,,
732,Dal,,214.26,13.39,4.46,,,
733,Deviled Eggs,,,,,,,
734,Dim Sum,,,,,,,
735,Dosa,,,,,,,
736,Enchiladas,,,,,,,
737,Fajita,,230,14.38,4.79,,,
738,Fish and Chips,,,,,,,
739,Fried Rice,,137,8.56,2.85,,,
740,Fried Shrimp,,129,8.06,2.69,,,
741,Grilled Cheese Sandwich,,,,,,,
742,Ham and Cheese Sandwich,,,,,,,
743,Hummus,,240,15,5,,,
744,Jambalaya,,246.29,15.39,5.13,,,
745,Kebab,,,,,,,
746,Lasagne,,253.91,15.87,5.29,,,
747,Mac and Cheese,,198,12.38,4.13,,,
748,Macaroni and Cheese,,198,12.38,4.13,,,
749,Mashed Potatoes,,210,13.13,4.38,,,
750,Meat Pie,,,,,,,
751,Meatloaf,,178,11.13,3.71,,,
752,Naan,,,,,,,
